paper_id,title,year,eigenvector,cluster_id
W2604096629,DeepSleepNet: A Model for Automatic Sleep Stage Scoring Based on Raw Single-Channel EEG,2017,0.39417486770865595,15
W2893892260,SeqSleepNet: End-to-End Hierarchical Recurrent Neural Network for Sequence-to-Sequence Automatic Sleep Staging,2019,0.3337603754814651,15
W3158818505,An Attention-Based Deep Learning Approach for Sleep Stage Classification With Single-Channel EEG,2021,0.3099412091969206,15
W2920016582,SleepEEGNet: Automated sleep stage scoring with sequence to sequence deep learning approach,2019,0.257162372944644,15
W3165396901,SleepTransformer: Automatic Sleep Staging With Interpretability and Uncertainty Quantification,2022,0.20986835669993717,15
W4379805270,MultiChannelSleepNet: A Transformer-Based Model for Automatic Sleep Stage Classification With PSG,2023,0.1608767201907626,15
W4385656632,L-SeqSleepNet: Whole-cycle Long Sequence Modeling for Automatic Sleep Staging,2023,0.1564701044819851,15
W4286542909,SleepFCN: A Fully Convolutional Deep Learning Framework for Sleep Stage Classification Using Single-Channel Electroencephalograms,2022,0.15006128530898769,15
W4390724185,CTCNet: A CNN Transformer capsule network for sleep stage classification,2024,0.14189038417423724,15
W3188349400,SalientSleepNet: Multimodal Salient Wave Detection Network for Sleep Staging,2021,0.13849408446515205,15
W4401326911,Toward Interpretable Sleep Stage Classification Using Cross-Modal Transformers,2024,0.13206503998988023,15
W3156463266,U-Sleep: resilient high-frequency sleep staging,2021,0.13167690716560262,15
W4281387680,A Deep Learning Method Approach for Sleep Stage Classification with EEG Spectrogram,2022,0.13091893244718636,15
W4223627919,SleepContextNet: A temporal context network for automatic sleep staging based single-channel EEG,2022,0.129969282019285,15
W4400785551,A novel deep learning model based on transformer and cross modality attention for classification of sleep stages,2024,0.12766535729012324,15
W4205949815,Multi-Modal Physiological Signals Based Squeeze-and-Excitation Network With Domain Adversarial Learning for Sleep Staging,2022,0.12690782773353157,15
W4294690904,TransSleep: Transitioning-Aware Attention-Based Deep Neural Network for Sleep Staging,2022,0.12387645708020967,15
W3159541278,SleepPrintNet: A Multivariate Multimodal Neural Network Based on Physiological Time-Series for Automatic Sleep Staging,2020,0.123403613818419,15
W4323519330,MaskSleepNet: A Cross-Modality Adaptation Neural Network for Heterogeneous Signals Processing in Sleep Staging,2023,0.11922852671134096,15
W3087740611,End-to-end sleep staging using convolutional neural network in raw single-channel EEG,2020,0.11839998572177275,15
W3210714637,ADAST: Attentive Cross-Domain EEG-Based Sleep Staging Framework With Iterative Self-Training,2022,0.11716792851968265,15
W3111722905,Automated Detection of Sleep Stages Using Deep Learning Techniques: A Systematic Review of the Last Decade (2010–2020),2020,0.1160426702084616,15
W2995516697,Accurate Deep Learning-Based Sleep Staging in a Clinical Population with Suspected Obstructive Sleep Apnea,2019,0.11438356912226953,15
W3034369844,GraphSleepNet: Adaptive Spatial-Temporal Graph Convolutional Networks for Sleep Stage Classification,2020,0.11195773167790174,15
W4317795265,EEG-Based Sleep Stage Classification via Neural Architecture Search,2023,0.11007995110343126,15
W4365443956,MS-HNN: Multi-Scale Hierarchical Neural Network With Squeeze and Excitation Block for Neonatal Sleep Staging Using a Single-Channel EEG,2023,0.10948628509734483,15
W3198543070,Multi-View Spatial-Temporal Graph Convolutional Networks With Domain Generalization for Sleep Stage Classification,2021,0.10935457468479297,15
W3101149558,MetaSleepLearner: A Pilot Study on Fast Adaptation of Bio-Signals-Based Sleep Stage Classifier to New Individual Subject Using Meta-Learning,2020,0.10847552131047612,15
W4390969286,Toward Domain-Free Transformer for Generalized EEG Pre-Training,2024,0.10720109591901998,15
W4221054514,An Improved Neural Network Based on SENet for Sleep Stage Classification,2022,0.10463447207747388,15
W2977136224,Orthogonal convolutional neural networks for automatic sleep stage classification based on single-channel EEG,2019,0.10458762038020364,15
W4361009944,Sleep Stage Classification in Children Using Self-Attention and Gaussian Noise Data Augmentation,2023,0.09671759982446472,15
W4396623881,SleepBoost: a multi-level tree-based ensemble model for automatic sleep stage classification,2024,0.09589007073880844,15
W4390481217,MSleepNet: A Semi-Supervision-Based Multiview Hybrid Neural Network for Simultaneous Sleep Arousal and Sleep Stage Detection,2024,0.09322278582730893,15
W4308364587,A Lightweight Segmented Attention Network for Sleep Staging by Fusing Local Characteristics and Adjacent Information,2022,0.09290600764973046,15
W4205325663,A novel sleep staging network based on multi-scale dual attention,2022,0.09036054851258506,15
W4220891962,SingleChannelNet: A model for automatic sleep stage classification with raw single-channel EEG,2022,0.0845581205066989,15
W4391716593,An automatic method using MFCC features for sleep stage classification,2024,0.0792186214353933,15
W4225851481,A Review of Recurrent Neural Network-Based Methods in Computational Physiology,2022,0.07522553910590585,15
W4407975471,Dynamic Multi-Scale Feature Fusion for Robust Sleep Stage Classification Using Single-Channel EEG,2025,0.07340662329953264,15
W4407767392,"Transformers in EEG Analysis: A Review of Architectures and Applications in Motor Imagery, Seizure, and Emotion Classification",2025,0.06496008179082255,15
W4391791406,Single-Channel EEG Data Analysis Using a Multi-Branch CNN for Neonatal Sleep Staging,2024,0.062129554774128334,15
W3177342940,BENDR: Using Transformers and a Contrastive Self-Supervised Learning Task to Learn From Massive Amounts of EEG Data,2021,0.06181949407129768,15
W3165814049,Robust learning from corrupted EEG with dynamic spatial filtering,2022,0.056073250051956125,15
W4306180768,Multimodal detection of epilepsy with deep neural networks,2022,0.053768794696901705,15
W4364302686,Bi-Branch Vision Transformer Network for EEG Emotion Recognition,2023,0.049715967527789874,15
W4388240351,"Deep Learning in EEG-Based BCIs: A Comprehensive Review of Transformer Models, Advantages, Challenges, and Applications",2023,0.047193743968922446,15
W2904418346,Expert-level sleep scoring with deep neural networks,2018,0.04589166662880678,15
W4304481237,MtCLSS: Multi-Task Contrastive Learning for Semi-Supervised Pediatric Sleep Staging,2022,0.044405614165301914,15
W4321484024,A Spiking Neural Network With Adaptive Graph Convolution and LSTM for EEG-Based Brain-Computer Interfaces,2023,0.03772537791588307,15
W4205558134,Transformers for EEG-Based Emotion Recognition: A Hierarchical Spatial Information Learning Model,2022,0.03674085561505852,15
W4396214358,Data Constraints and Performance Optimization for Transformer-Based Models in EEG-Based Brain-Computer Interfaces: A Survey,2024,0.03592665340200529,15
W4312597583,EEG Conformer: Convolutional Transformer for EEG Decoding and Visualization,2022,0.034997685294825664,15
W4200634062,Toward Open-World Electroencephalogram Decoding Via Deep Learning: A comprehensive survey,2022,0.034307089652078904,15
W4289538860,A Transformer-Based Approach Combining Deep Learning Network and Spatial-Temporal Information for Raw EEG Classification,2022,0.034157987790525396,15
W4319303360,An attention-based deep learning approach for the classification of subjective cognitive decline and mild cognitive impairment using resting-state EEG,2023,0.03323924132552737,15
W4380683769,MSATNet: multi-scale adaptive transformer network for motor imagery classification,2023,0.03168205642595773,15
W4327521769,IFNet: An Interactive Frequency Convolutional Neural Network for Enhancing Motor Imagery Decoding From EEG,2023,0.02910369517740838,15
W3032709845,Expert-level automated sleep staging of long-term scalp electroencephalography recordings using deep learning,2020,0.028991573091469356,15
W3173912422,Transformer-based Spatial-Temporal Feature Learning for EEG Decoding,2021,0.028491461477992933,15
W4365448982,STGATE: Spatial-temporal graph attention network with a transformer encoder for EEG-based emotion recognition,2023,0.02825734673415335,15
W4312892255,Multiscale Convolutional Transformer for EEG Classification of Mental Imagery in Different Modalities,2022,0.02740588308775891,15
W4408054450,A dynamic saliency enhanced fusion network for multimodal sleep recognition,2025,0.02632246239255171,15
W3021364482,Work modes recognition and boundary identification of MFR pulse sequences with a hierarchical seq2seq LSTM,2020,0.025637502261206216,15
W3088256290,EEG-Based Emotion Recognition via Channel-Wise Attention and Self Attention,2020,0.025536604270073645,15
W2971518519,HS-CNN: a CNN with hybrid convolution scale for EEG motor imagery classification,2019,0.025260326438579672,15
W4386570719,Emotion recognition in EEG signals using deep learning methods: A review,2023,0.023938431295630225,15
W4406111197,Deep Learning for Obstructive Sleep Apnea Detection and Severity Assessment: A Multimodal Signals Fusion Multiscale Transformer Model,2025,0.023668207263010024,15
W4395451426,Lung Cancer Classification using Optimized Attention-based Convolutional Neural Network with DenseNet-201 Transfer Learning Model on CT image,2024,0.023668207263010024,15
W3092342532,Deep learning for motor imagery EEG-based classification: A review,2020,0.022557415661213866,15
W4292731283,EEG temporal–spatial transformer for person identification,2022,0.019839457365003307,15
W4398242714,"A comprehensive review of deep learning in EEG-based emotion recognition: classifications, trends, and practical implications",2024,0.01969232557357222,15
W3044186523,Multi-channel EEG-based emotion recognition via a multi-level features guided capsule network,2020,0.019129998849953762,15
W4388140384,Deep temporal networks for EEG-based motor imagery recognition,2023,0.018757543753776515,15
W4292263626,A Self-Supervised Learning Based Channel Attention MLP-Mixer Network for Motor Imagery Decoding,2022,0.01875534853206956,15
W4312211295,TC-Net: A Transformer Capsule Network for EEG-based emotion recognition,2022,0.018600853082273803,15
W4384080511,DICE-Net: A Novel Convolution-Transformer Architecture for Alzheimer Detection in EEG Signals,2023,0.01843190905290925,15
W4386175841,Temporal–spatial transformer based motor imagery classification for BCI using independent component analysis,2023,0.017336315783073077,15
W4291652904,EEG-Based Emotion Recognition Using Spatial-Temporal Graph Convolutional LSTM With Attention Mechanism,2022,0.016878703046948947,15
