id,title,year,pagerank,cluster
W2560609797,PointNet: Deep Learning on Point Sets for 3D Classification and Segmentation,2017,0.15659091061909675,12
W2424778531,Social LSTM: Human Trajectory Prediction in Crowded Spaces,2016,0.03968591385366554,12
W2979750740,Dynamic Graph CNN for Learning on Point Clouds,2019,0.031945268507554976,12
W2963281829,Large-Scale Point Cloud Semantic Segmentation with Superpoint Graphs,2018,0.027714691365986532,12
W3122159272,Deep Parametric Continuous Convolutional Neural Networks,2018,0.020368065376315293,12
W2607296803,DESIRE: Distant Future Prediction in Dynamic Scenes with Interacting Agents,2017,0.013051660733222796,12
W2963125977,4D Spatio-Temporal ConvNets: Minkowski Convolutional Neural Networks,2019,0.012369592706898809,12
W2962887844,Target-driven visual navigation in indoor scenes using deep reinforcement learning,2017,0.012254929421117756,12
W2963231572,PointConv: Deep Convolutional Networks on 3D Point Clouds,2019,0.011813808105040619,12
W2963926543,Occupancy Networks: Learning 3D Reconstruction in Function Space,2019,0.011244617605999046,12
W2795374598,Pointwise Convolutional Neural Networks,2018,0.010809029614321269,12
W2895472109,3D Recurrent Neural Networks with Context Fusion for Point Cloud Semantic Segmentation,2018,0.008654958256172601,12
W2991216808,SemanticKITTI: A Dataset for Semantic Scene Understanding of LiDAR Sequences,2019,0.008392717623671032,12
W2798270772,Attentional ShapeContextNet for Point Cloud Recognition,2018,0.008321566825651558,12
W3012494314,RandLA-Net: Efficient Semantic Segmentation of Large-Scale Point Clouds,2020,0.008183539598884623,12
W2963509914,Relation-Shape Convolutional Neural Network for Point Cloud Analysis,2019,0.00804557645983676,12
W2960986959,PointWeb: Enhancing Local Neighborhood Features for Point Cloud Processing,2019,0.007634647974357268,12
W2968257580,DeepVoxels: Learning Persistent 3D Feature Embeddings,2019,0.007428962376861624,12
W3034314779,PV-RCNN: Point-Voxel Feature Set Abstraction for 3D Object Detection,2020,0.00682963967960026,12
W3153465022,PCT: Point cloud transformer,2021,0.0067451580469149765,12
W2963123724,Point2Sequence: Learning the Shape Representation of 3D Point Clouds with an Attention-Based Sequence to Sequence Network,2019,0.00645416254455138,12
W2769312834,SGPN: Similarity Group Proposal Network for 3D Point Cloud Instance Segmentation,2018,0.005949573979578212,12
W3109585842,NeRF: Representing Scenes as Neural Radiance Fields for View Synthesis,2020,0.00591634155797837,12
W2795014656,3DMV: Joint 3D-Multi-view Prediction for 3D Semantic Scene Segmentation,2018,0.005826259102207472,12
W4214755140,Point Transformer,2021,0.005749647195762887,12
