id,title,year,pagerank,cluster
W854541894,Attention-Based Models for Speech Recognition,2015,0.05340195187452616,7
W2962826786,End-to-end attention-based large vocabulary speech recognition,2016,0.05285838645491568,7
W2963211739,EESEN: End-to-end speech recognition using deep RNN models and WFST-based decoding,2015,0.037581904129397894,7
W2327501763,"Listen, attend and spell: A neural network for large vocabulary conversational speech recognition",2016,0.02421916451633387,7
W2953022181,Attention-Based Models for Speech Recognition,2015,0.018440491059985843,7
W2936774411,SpecAugment: A Simple Data Augmentation Method for Automatic Speech Recognition,2019,0.013544178118956448,7
W2952746495,Lip Reading Sentences in the Wild,2017,0.013358764890578988,7
W2109886035,End-to-End Attention-based Large Vocabulary Speech Recognition,2015,0.012186430790682901,7
W2625297138,Automatic speech emotion recognition using recurrent neural networks with local attention,2017,0.010141024672995777,7
W2530876040,Very deep convolutional networks for end-to-end speech recognition,2017,0.008908574724563438,7
W2901997113,Char2Wav: End-to-End Speech Synthesis,2017,0.008794382292300675,7
W2964243274,Natural TTS Synthesis by Conditioning Wavenet on MEL Spectrogram Predictions,2018,0.008723907068823394,7
W2963609956,Tacotron: Towards End-to-End Speech Synthesis,2017,0.008516654045766245,7
W2558649592,Deep attractor network for single-microphone speaker separation,2017,0.008319030726619455,7
W2963571336,Audio Word2Vec: Unsupervised Learning of Audio Segment Representations Using Sequence-to-Sequence Autoencoder,2016,0.007977177626340952,7
W2577366047,Towards Better Decoding and Language Model Integration in Sequence to Sequence Models,2017,0.00716112836252685,7
W2962824709,State-of-the-Art Speech Recognition with Sequence-to-Sequence Models,2018,0.0068754173033227575,7
W2973049979,wav2vec: Unsupervised Pre-Training for Speech Recognition,2019,0.006780039509248699,7
W2545177271,Neural Speech Recognizer: Acoustic-to-Word LSTM Model for Large Vocabulary Speech Recognition,2017,0.006605205513940321,7
W2605141709,Online and Linear-Time Attention by Enforcing Monotonic Alignments,2017,0.00655279242611696,7
W3036601975,wav2vec 2.0: A Framework for Self-Supervised Learning of Speech Representations,2020,0.005663657016172709,7
W2766812927,Deep Voice 3: 2000-Speaker Neural Text-to-Speech,2017,0.005590613168216317,7
W3125709657,Unsupervised Speech Representation Learning Using WaveNet Autoencoders,2019,0.005342305826250259,7
W2963425185,Speech2Vec: A Sequence-to-Sequence Framework for Learning Word Embeddings from Speech,2018,0.005263088233360671,7
W2963266252,English Conversational Telephone Speech Recognition by Humans and Machines,2017,0.00511518481800172,7
W2750499125,A Comparison of Sequence-to-Sequence Models for Speech Recognition,2017,0.004931246791806552,7
W2799800213,Improved Training of End-to-end Attention Models for Speech Recognition,2018,0.004930381100543288,7
W2962736520,"Attentive Convolutional Neural Network Based Speech Emotion Recognition: A Study on the Impact of Input Features, Signal Length, and Acted Speech",2017,0.0048200404431533615,7
W2889282842,End-to-end Speech Recognition Using Lattice-free MMI,2018,0.004628902160113879,7
W2734774145,Multitalker Speech Separation With Utterance-Level Permutation Invariant Training of Deep Recurrent Neural Networks,2017,0.004487499122421702,7
W2962960500,Audio-Visual Scene Analysis with Self-Supervised Multisensory Features,2018,0.004447764938933096,7
W2972943112,An Unsupervised Autoregressive Model for Speech Representation Learning,2019,0.004336135196756958,7
